Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
es90fst14.stp,68228942.0,68612457.0,68420949.4,23974.38,25968.864,24830.898,3.66,0.0,2.35,10
es90fst15.stp,72817367.0,73573285.0,73222091.1,35254.1,38617.984,36669.728,4.8,0.56,3.47,10
p619.stp,7485.0,7485.0,7485.0,434.632,445.876,436.855,4.81,4.81,4.81,10
p620.stp,5214.0,5214.0,5214.0,58.046,58.689,58.241,0.0,0.0,0.0,10
p621.stp,8844.0,8844.0,8844.0,286.046,288.527,286.787,0.0,0.0,0.0,10
p622.stp,16446.0,16446.0,16446.0,589.679,650.817,615.779,12.53,0.0,2.67,10
p623.stp,19496.0,19496.0,19496.0,803.588,867.847,829.916,6.78,0.0,6.1,10
p624.stp,20246.0,20246.0,20246.0,2078.846,2286.136,2149.783,8.55,0.89,5.33,10
p625.stp,23138.0,23657.0,23381.6,2043.293,2224.603,2159.339,10.68,3.9,7.0,10
p626.stp,22346.0,22584.0,22430.5,2218.416,2491.542,2358.512,11.56,4.06,8.46,10
p627.stp,40647.0,41021.0,40841.5,9029.188,10448.215,9590.988,10.63,1.61,5.89,10
p628.stp,40243.0,40639.0,40343.4,8348.056,9096.954,8683.759,10.9,4.37,7.76,10
p629.stp,42799.0,43223.0,43014.9,8029.315,8729.467,8404.347,11.82,2.61,6.88,10
p630.stp,26721.0,26721.0,26721.0,2607.904,2653.337,2631.253,7.91,1.22,4.9,10
p631.stp,37842.0,37945.0,37914.1,6255.82,6857.151,6692.333,22.73,10.75,16.5,10
p632.stp,56224.0,56855.0,56509.6,20210.849,21643.764,20879.193,15.86,9.23,11.23,10
p633.stp,87352.0,88816.0,87894.2,55779.468,61655.601,58105.205,9.3,2.89,6.34,10
i080-001.stp,1689.0,1689.0,1689.0,184.004,185.848,184.613,0.76,0.76,0.76,10
i080-002.stp,1676.0,1676.0,1676.0,239.202,240.505,239.911,0.18,0.18,0.18,10
i080-003.stp,1706.0,1706.0,1706.0,65.383,66.063,65.668,0.0,0.0,0.0,10
i080-004.stp,1958.0,1958.0,1958.0,92.408,92.943,92.649,0.0,0.0,0.0,10
i080-005.stp,1589.0,1589.0,1589.0,48.023,48.583,48.213,0.0,0.0,0.0,10
i080-011.stp,1308.0,1308.0,1308.0,87.417,88.639,87.731,0.0,0.0,0.0,10
i080-012.stp,1265.0,1265.0,1265.0,92.235,93.098,92.65,0.0,0.0,0.0,10
i080-013.stp,1282.0,1282.0,1282.0,102.159,102.895,102.503,0.0,0.0,0.0,10
i080-014.stp,1281.0,1281.0,1281.0,103.361,104.406,103.722,0.0,0.0,0.0,10
i080-015.stp,1012.0,1012.0,1012.0,49.095,49.48,49.348,0.0,0.0,0.0,10
i080-021.stp,907.0,907.0,907.0,121.859,122.408,122.164,0.0,0.0,0.0,10
i080-022.stp,904.0,904.0,904.0,108.896,111.068,109.319,0.0,0.0,0.0,10
i080-023.stp,899.0,899.0,899.0,91.921,92.214,92.066,0.0,0.0,0.0,10
i080-024.stp,908.0,908.0,908.0,95.452,96.213,95.743,0.0,0.0,0.0,10
i080-025.stp,902.0,902.0,902.0,89.743,90.117,89.941,0.0,0.0,0.0,10
i080-031.stp,1569.0,1569.0,1569.0,102.574,103.704,103.027,0.0,0.0,0.0,10
i080-032.stp,1988.0,1988.0,1988.0,82.422,83.436,82.75,0.0,0.0,0.0,10
i080-033.stp,1794.0,1794.0,1794.0,356.617,359.621,357.906,0.44,0.44,0.44,10
i080-034.stp,1393.0,1393.0,1393.0,65.8,66.656,66.112,0.0,0.0,0.0,10
i080-035.stp,1494.0,1494.0,1494.0,98.011,99.359,98.644,0.0,0.0,0.0,10
i080-041.stp,1006.0,1006.0,1006.0,59.254,59.734,59.465,0.0,0.0,0.0,10
i080-042.stp,1173.0,1173.0,1173.0,91.881,92.426,92.158,0.0,0.0,0.0,10
i080-043.stp,1081.0,1081.0,1081.0,79.44,79.991,79.654,0.0,0.0,0.0,10
i080-044.stp,1194.0,1194.0,1194.0,131.243,132.581,131.73,0.0,0.0,0.0,10
i080-045.stp,1171.0,1171.0,1171.0,114.571,116.009,115.385,0.0,0.0,0.0,10
i080-101.stp,2608.0,2608.0,2608.0,205.708,207.551,206.124,4.4,4.4,4.4,10
i080-102.stp,2405.0,2405.0,2405.0,133.907,136.693,135.661,0.0,0.0,0.0,10
